sample  unit    population  platform    fq1 fq2
Lbella_A1  Lane1    Alp   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Alp/MJ23-200_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Alp/MJ23-200_R2_001.fastq.gz
Lbella_A2  Lane1    Alp   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Alp/MJ23-201_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Alp/MJ23-201_R2_001.fastq.gz
Lbella_A3  Lane1    Alp   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Alp/MJ23-204_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Alp/MJ23-204_R2_001.fastq.gz
Lbella_A4  Lane1    Alp   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Alp/MJ23-232_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Alp/MJ23-232_R2_001.fastq.gz
Lbella_A5  Lane1    Alp   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Alp/MJ23-356_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Alp/MJ23-356_R2_001.fastq.gz
Lbella_A6  Lane1    Alp   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Alp/MJ23-357_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Alp/MJ23-357_R2_001.fastq.gz
Lbella_A7  Lane1    Alp   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Alp/MJ23-358_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Alp/MJ23-358_R2_001.fastq.gz
Lbella_P1  Lane1    Pyr   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Pyr/MJ23-323_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Pyr/MJ23-323_R2_001.fastq.gz
Lbella_P2  Lane1    Pyr   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Pyr/MJ23-324_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Pyr/MJ23-324_R2_001.fastq.gz
Lbella_P3  Lane1    Pyr   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Pyr/MJ24-990_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Pyr/MJ24-990_R2_001.fastq.gz
Lbella_P4  Lane1    Pyr   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Pyr/MJ24-991_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Pyr/MJ24-991_R2_001.fastq.gz
Lbella_P5  Lane1    Pyr   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Pyr/MJ24-992_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Pyr/MJ24-992_R2_001.fastq.gz
Lbella_P6  Lane1    Pyr   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Pyr/MJ24-993_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Pyr/MJ24-993_R2_001.fastq.gz
Lbella_P7  Lane1    Pyr   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Pyr/MJ24-994_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Pyr/MJ24-994_R2_001.fastq.gz
Lbella_P8  Lane1    Pyr   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Pyr/MJ24-996_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Lysandra_bellargus_Pyr/MJ24-996_R2_001.fastq.gz
