sample  unit    population  platform    fq1 fq2
Picarus_Alp1   Lane1    Alp   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Polyommatus_icarus_Alp/MJ23-203_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Polyommatus_icarus_Alp/MJ23-203_R2_001.fastq.gz
Picarus_Alp2   Lane1    Alp   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Polyommatus_icarus_Alp/MJ23-208_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Polyommatus_icarus_Alp/MJ23-208_R2_001.fastq.gz
Picarus_Alp3   Lane1    Alp   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Polyommatus_icarus_Alp/MJ24-579_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Polyommatus_icarus_Alp/MJ24-579_R2_001.fastq.gz
Picarus_Alp4   Lane1    Alp   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Polyommatus_icarus_Alp/MJ24-615_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Polyommatus_icarus_Alp/MJ24-615_R2_001.fastq.gz
Picarus_Alp5   Lane1    Alp   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Polyommatus_icarus_Alp/MJ24-622_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Polyommatus_icarus_Alp/MJ24-622_R2_001.fastq.gz
Picarus_Alp6   Lane1    Alp   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Polyommatus_icarus_Alp/MJ24-623_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Polyommatus_icarus_Alp/MJ24-623_R2_001.fastq.gz
Picarus_Alp7   Lane1    Alp   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Polyommatus_icarus_Alp/MJ24-624_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Polyommatus_icarus_Alp/MJ24-624_R2_001.fastq.gz
Picarus_Pyr1   Lane1    Pyr   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Polyommatus_icarus_Pyr/MJ23-103_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Polyommatus_icarus_Pyr/MJ23-103_R2_001.fastq.gz
Picarus_Pyr2   Lane1    Pyr   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Polyommatus_icarus_Pyr/MJ23-104_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Polyommatus_icarus_Pyr/MJ23-104_R2_001.fastq.gz
Picarus_Pyr3   Lane1    Pyr   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Polyommatus_icarus_Pyr/MJ23-105_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Polyommatus_icarus_Pyr/MJ23-105_R2_001.fastq.gz
