sample  unit    population  platform    fq1 fq2
Pnapi_A1    lane1   Alp   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Alp/MJ24-587_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Alp/MJ24-587_R2_001.fastq.gz
Pnapi_A2    lane1   Alp   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Alp/MJ24-588_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Alp/MJ24-588_R2_001.fastq.gz
Pnapi_A3    lane1   Alp   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Alp/MJ24-589_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Alp/MJ24-589_R2_001.fastq.gz
Pnapi_A4    lane1   Alp   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Alp/MJ24-590_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Alp/MJ24-590_R2_001.fastq.gz
Pnapi_A5    lane1   Alp   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Alp/MJ24-591_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Alp/MJ24-591_R2_001.fastq.gz
Pnapi_A6    lane1   Alp   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Alp/MJ24-592_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Alp/MJ24-592_R2_001.fastq.gz
Pnapi_A7    lane1   Alp   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Alp/MJ24-593_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Alp/MJ24-593_R2_001.fastq.gz
Pnapi_P1    lane1   Pyr   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Pyr/MJ23-040_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Pyr/MJ23-040_R2_001.fastq.gz
Pnapi_P2    lane1   Pyr   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Pyr/MJ23-313_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Pyr/MJ23-313_R2_001.fastq.gz
Pnapi_P3    lane1   Pyr   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Pyr/MJ23-327_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Pyr/MJ23-327_R2_001.fastq.gz
Pnapi_P4    lane1   Pyr   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Pyr/MJ24-1004_R1_001.fastq.gz    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Pyr/MJ24-1004_R2_001.fastq.gz
Pnapi_P5    lane1   Pyr   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Pyr/MJ24-1031_R1_001.fastq.gz    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Pyr/MJ24-1031_R2_001.fastq.gz
Pnapi_P6    lane1   Pyr   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Pyr/MJ24-1047_R1_001.fastq.gz    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Pyr/MJ24-1047_R2_001.fastq.gz
Pnapi_P7    lane1   Pyr   ILLUMINA    /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Pyr/MJ24-213_R1_001.fastq.gz /lunarc/nobackup/projects/lepeu-lisbon/data/joron_data/joron_data/Pieris_napi_Pyr/MJ24-213_R2_001.fastq.gz
